Bus_k,Bus_j,Connectivity,
f5_139,f5_75,0,
f5_139,f5_83,0,
f5_139,f5_117,0,
f5_139,f5_87,0,
f5_139,f5_132,0,
f5_139,f5_92,0,
f5_139,f5_140,0,
f5_139,f5_98,0,
f5_139,f5_130,1,
f5_139,f5_105,0,
f5_139,f5_148,0,
f5_139,f5_111,0,
f5_139,f5_166,0,
f5_139,f5_133,0,
f5_139,f5_124,0,
f5_139,f5_125,0,
f5_139,f5_149,0,
f5_139,f5_139,1,
f5_139,f5_161,0,
f5_139,f5_142,0,
f5_139,f5_153,0,
f5_139,f5_188,0,
f5_139,f5_160,0,
f5_139,f5_151,0,
f5_139,f5_167,0,
f5_139,f5_159,0,
f5_139,f5_174,0,
f5_139,f5_211,0,
f5_139,f5_178,0,
f5_139,f5_173,0,
f5_139,f5_189,0,
f5_139,f5_227,0,
f5_139,f5_200,0,
f5_139,f5_194,0,
f5_139,f5_201,0,
f5_139,f5_237,0,
f5_139,f5_234,0,
f5_139,f5_268,0,
f5_139,f5_216,0,
f5_139,f5_222,0,
f5_139,f5_232,0,
f5_139,f5_238,0,
f5_139,f5_308,0,
f5_139,f5_274,0,
